# pcrec=/Users/fdicostanzo/pcrec/worktrees/clstudy/build/pcrec flags=--features unicode-props -e utf8 date=2026-09-11T08:56:47
set	body	intervals	members	emit_bytes	code_bytes	obj_text	obj_rodata	obj_total	pcrec_s	status
XWD	XWD	930	144969	1003979	12395	788	293365	294153	0.144	OK
XAN	XAN	770	142939	912007	12395	788	266753	267541	0.129	OK
C	C	736	959284	764578	12393	788	228169	228957	0.112	OK
CN	CN	731	819533	715255	12394	788	210517	211305	0.101	OK
ZZZZ	sc=UNKNOWN	729	959049	729912	12403	788	214267	215055	0.104	OK
L	L	677	141028	772418	12393	788	226621	227409	0.114	OK
LL	LL	662	2258	247741	13201	672	69857	70529	0.019	OK
LU	LU	651	1858	224651	13201	672	62352	63024	0.017	OK
LO	LO	528	136477	809079	13201	672	230631	231303	0.047	OK
MN	MN	357	2020	420968	13201	672	121637	122309	0.026	OK
M	M	321	2501	427134	13200	672	123167	123839	0.026	OK
S	S	236	8514	396304	13200	672	116212	116884	0.024	OK
P	P	198	855	342227	13200	672	98429	99101	0.023	OK
PO	PO	193	640	320303	13201	672	91368	92040	0.020	OK
MC	MC	190	468	199395	13201	672	54407	55079	0.014	OK
SO	SO	187	7376	311897	13201	672	87545	88217	0.020	OK
ZYYY	sc=COMMON	174	9053	309423	13209	672	90037	90709	0.020	OK
L&	L&	145	4147	219622	13201	672	61997	62669	0.015	OK
N	N	144	1911	239475	13200	672	67344	68016	0.015	OK
PS	PS	79	79	80369	13201	672	16937	17609	0.008	OK
PE	PE	76	77	76874	13201	672	15969	16641	0.007	OK
LM	LM	75	404	182246	13201	672	47939	48611	0.013	OK
NO	NO	72	915	175777	13201	672	47232	47904	0.011	OK
ND	ND	71	760	85232	13201	672	18437	19109	0.009	OK
LATN	LATIN	65	1555	139580	13204	672	35257	35929	0.010	OK
SM	SM	65	950	130749	13201	672	32381	33053	0.010	OK
ARAB	sc=ARAB	59	1373	102786	13207	672	23642	24314	0.009	OK
ARAB	ARAB	55	1421	100296	13203	672	22994	23666	0.008	OK
GREK	GREEK	44	531	81906	13204	672	17360	18032	0.008	OK
HAN	HAN	42	99338	118904	13202	672	29921	30593	0.010	OK
LATN	sc=LATIN	39	1487	97980	13208	672	22597	23269	0.008	OK
ETHI	ETHI	37	524	55674	13203	672	9853	10525	0.006	OK
ETHI	sc=ETHI	36	523	53575	13207	672	9281	9953	0.007	OK
GREK	sc=GREEK	36	518	68034	13208	672	13374	14046	0.007	OK
SK	SK	31	125	69834	13201	672	13919	14591	0.007	OK
QAAI	sc=INHERITED	29	657	91491	13212	672	20259	20931	0.008	OK
BENG	BENG	27	114	42252	13203	672	5960	6632	0.006	OK
GRAN	GRAN	25	116	45161	13203	672	6835	7507	0.006	OK
TAML	TAMIL	25	133	45916	13204	672	7019	7691	0.006	OK
HAN	sc=HAN	22	99030	75370	13206	672	15667	16339	0.008	OK
KANA	KANA	22	375	53945	13203	672	9445	10117	0.007	OK
CF	CF	21	170	70328	13201	672	14081	14753	0.007	OK
HANG	HANG	21	11775	58137	13203	672	10735	11407	0.007	OK
KNDA	KANNADA	21	107	38480	13207	672	4949	5621	0.006	OK
SC	SC	21	63	65510	13201	672	12761	13433	0.007	OK
PD	PD	20	27	47023	13201	672	7516	8188	0.006	OK
GURU	GURMUKHI	19	94	35020	13208	672	3985	4657	0.006	OK
SYRC	SYRC	19	119	38349	13203	672	4914	5586	0.006	OK
CYRL	CYRILLIC	18	521	50044	13208	672	8305	8977	0.007	OK
ORYA	ORIYA	18	97	33412	13204	672	3553	4225	0.006	OK
TAML	sc=TAMIL	18	123	34052	13208	672	3721	4393	0.006	OK
